id_area,id_type,lat,long,count
1,1,14.598962097464936,120.96892623394459,1
1,2,14.598962097464936,120.96892623394459,0
1,3,14.598962097464936,120.96892623394459,0
1,4,14.598962097464936,120.96892623394459,0
1,5,14.598962097464936,120.96892623394459,1
1,6,14.598962097464936,120.96892623394459,1
1,7,14.598962097464936,120.96892623394459,0
1,8,14.598962097464936,120.96892623394459,0
2,1,14.588869722928186,120.97829797773764,1
2,2,14.588869722928186,120.97829797773764,1
2,3,14.588869722928186,120.97829797773764,1
2,4,14.588869722928186,120.97829797773764,1
2,5,14.588869722928186,120.97829797773764,1
2,6,14.588869722928186,120.97829797773764,2
2,7,14.588869722928186,120.97829797773764,1
2,8,14.588869722928186,120.97829797773764,1
3,1,14.593499556375516,120.98962600264964,0
3,2,14.593499556375516,120.98962600264964,0
3,3,14.593499556375516,120.98962600264964,0
3,4,14.593499556375516,120.98962600264964,0
3,5,14.593499556375516,120.98962600264964,1
3,6,14.593499556375516,120.98962600264964,1
3,7,14.593499556375516,120.98962600264964,0
3,8,14.593499556375516,120.98962600264964,0
4,1,14.570567405448935,120.99239347658467,2
4,2,14.570567405448935,120.99239347658467,3
4,3,14.570567405448935,120.99239347658467,5
4,4,14.570567405448935,120.99239347658467,4
4,5,14.570567405448935,120.99239347658467,8
4,6,14.570567405448935,120.99239347658467,10
4,7,14.570567405448935,120.99239347658467,3
4,8,14.570567405448935,120.99239347658467,2
5,1,14.579545641897324,120.99551112463566,3
5,2,14.579545641897324,120.99551112463566,2
5,3,14.579545641897324,120.99551112463566,1
5,4,14.579545641897324,120.99551112463566,2
5,5,14.579545641897324,120.99551112463566,5
5,6,14.579545641897324,120.99551112463566,7
5,7,14.579545641897324,120.99551112463566,2
5,8,14.579545641897324,120.99551112463566,2
6,1,14.597214497215411,120.99460969711643,0
6,2,14.597214497215411,120.99460969711643,0
6,3,14.597214497215411,120.99460969711643,0
6,4,14.597214497215411,120.99460969711643,0
6,5,14.597214497215411,120.99460969711643,1
6,6,14.597214497215411,120.99460969711643,0
6,7,14.597214497215411,120.99460969711643,0
6,8,14.597214497215411,120.99460969711643,0
7,1,14.588736479313644,121.00371480098771,1
7,2,14.588736479313644,121.00371480098771,2
7,3,14.588736479313644,121.00371480098771,4
7,4,14.588736479313644,121.00371480098771,2
7,5,14.588736479313644,121.00371480098771,5
7,6,14.588736479313644,121.00371480098771,5
7,7,14.588736479313644,121.00371480098771,2
7,8,14.588736479313644,121.00371480098771,2
8,1,14.62105311646987,120.98318543140019,0
8,2,14.62105311646987,120.98318543140019,1
8,3,14.62105311646987,120.98318543140019,1
8,4,14.62105311646987,120.98318543140019,1
8,5,14.62105311646987,120.98318543140019,3
8,6,14.62105311646987,120.98318543140019,0
8,7,14.62105311646987,120.98318543140019,1
8,8,14.62105311646987,120.98318543140019,1
9,1,14.609426797844112,120.9966030925635,10
9,2,14.609426797844112,120.9966030925635,11
9,3,14.609426797844112,120.9966030925635,13
9,4,14.609426797844112,120.9966030925635,12
9,5,14.609426797844112,120.9966030925635,24
9,6,14.609426797844112,120.9966030925635,29
9,7,14.609426797844112,120.9966030925635,9
9,8,14.609426797844112,120.9966030925635,8
10,1,14.572439504647807,121.00270506782023,6
10,2,14.572439504647807,121.00270506782023,2
10,3,14.572439504647807,121.00270506782023,4
10,4,14.572439504647807,121.00270506782023,5
10,5,14.572439504647807,121.00270506782023,8
10,6,14.572439504647807,121.00270506782023,11
10,7,14.572439504647807,121.00270506782023,3
10,8,14.572439504647807,121.00270506782023,2
11,1,14.599269555310803,121.00373256541096,1
11,2,14.599269555310803,121.00373256541096,1
11,3,14.599269555310803,121.00373256541096,0
11,4,14.599269555310803,121.00373256541096,1
11,5,14.599269555310803,121.00373256541096,1
11,6,14.599269555310803,121.00373256541096,2
11,7,14.599269555310803,121.00373256541096,1
11,8,14.599269555310803,121.00373256541096,0
12,1,14.605360449573762,120.97388715581903,1
12,2,14.605360449573762,120.97388715581903,1
12,3,14.605360449573762,120.97388715581903,1
12,4,14.605360449573762,120.97388715581903,1
12,5,14.605360449573762,120.97388715581903,2
12,6,14.605360449573762,120.97388715581903,4
12,7,14.605360449573762,120.97388715581903,0
12,8,14.605360449573762,120.97388715581903,0
13,1,14.583116051013409,121.01271854661573,1
13,2,14.583116051013409,121.01271854661573,2
13,3,14.583116051013409,121.01271854661573,2
13,4,14.583116051013409,121.01271854661573,2
13,5,14.583116051013409,121.01271854661573,5
